"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","用户登录功能","1","0","页面标题验证","0"
"0","","0","用户登录功能","4","0","不同用户登录验证","0"
"0","","0","购物车管理功能","1","0","跨页面购物车状态保持","0"
"0","","0","购物车管理功能","1","0","添加多个商品到购物车","0"
"0","","0","购物车管理功能","1","0","继续购物和去结算按钮功能","0"
"0","","0","结账功能","1","0","成功结账流程","0"
"0","","0","购物车管理功能","1","0","添加单个商品到购物车","0"
"0","","0","购物车管理功能","1","0","购物车商品详情验证","0"
"0","","0","结账功能","1","0","必填信息验证","0"
"0","","0","购物车管理功能","1","0","从购物车移除单个商品","0"
"0","","0","用户登录功能","1","0","标准用户完整流程","0"
"0","","0","结账功能","1","0","金额计算验证","0"
