"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试页面标题","90","test_page_title","test_cases","2026-04-24","passed","2026-04-24","TestLogin","test_login","",""
"
        测试用户登录
        :param user_data: 从YAML加载的用户数据
        ","1633","test_user_login[user_data2]","test_cases","2026-04-24","passed","2026-04-24","TestLogin","test_login","",""
"
        测试场景：验证购物车状态在跨页面操作时保持

        验证点：
            1. 添加商品到购物车
            2. 跳转到商品详情页
            3. 返回商品列表页
            4. 购物车数量和内容保持不变
            5. 进入购物车页面验证内容

        测试数据：
            - 商品名称: ""Sauce Labs Fleece Jacket""
        ","326","test_cart_persistence_across_pages","test_cases","2026-04-24","passed","2026-04-24","TestCartManagement","test_cart","",""
"
        测试用户登录
        :param user_data: 从YAML加载的用户数据
        ","1621","test_user_login[user_data1]","test_cases","2026-04-24","passed","2026-04-24","TestLogin","test_login","",""
"
        测试场景：添加多个不同商品到购物车

        验证点：
            1. 依次添加多个商品
            2. 购物车徽章显示正确总数
            3. 购物车页面显示所有添加的商品
            4. 每个商品的详细信息正确

        测试数据：
            - 商品列表: [""Sauce Labs Backpack"", ""Sauce Labs Bike Light"", ""Sauce Labs Bolt T-Shirt""]
        ","591","test_add_multiple_products_to_cart","test_cases","2026-04-24","passed","2026-04-24","TestCartManagement","test_cart","",""
"
        测试用户登录
        :param user_data: 从YAML加载的用户数据
        ","6743","test_user_login[user_data3]","test_cases","2026-04-24","passed","2026-04-24","TestLogin","test_login","",""
"
        测试场景：验证""继续购物""和""去结算""按钮功能

        验证点：
            1. 添加商品到购物车
            2. 进入购物车页面
            3. 点击""继续购物""返回商品列表页
            4. 再次进入购物车页面
            5. 点击""去结算""跳转到结算页面

        测试数据：
            - 商品名称: ""Sauce Labs Backpack""
        ","342","test_continue_shopping_and_checkout_buttons","test_cases","2026-04-24","passed","2026-04-24","TestCartManagement","test_cart","",""
"
        测试用户登录
        :param user_data: 从YAML加载的用户数据
        ","1709","test_user_login[user_data0]","test_cases","2026-04-24","passed","2026-04-24","TestLogin","test_login","",""
"","926","test_checkout_success","test_cases","2026-04-24","passed","2026-04-24","TestCheckout","test_checkout","",""
"
        测试场景：添加单个商品到购物车

        验证点：
            1. 点击""Add to cart""按钮
            2. 按钮文本变为""Remove""
            3. 购物车徽章显示数量 1
            4. 购物车页面显示该商品

        测试数据：
            - 商品名称: ""Sauce Labs Backpack""
        ","10517","test_add_single_product_to_cart","test_cases","2026-04-24","passed","2026-04-24","TestCartManagement","test_cart","",""
"
        测试场景：验证购物车中商品的详细信息

        验证点：
            1. 添加商品到购物车
            2. 进入购物车页面
            3. 验证商品名称、描述、价格、数量
            4. 验证价格格式正确

        测试数据：
            - 商品名称: ""Sauce Labs Onesie""
            - 期望价格: ""$7.99""
        ","904","test_cart_item_details_verification","test_cases","2026-04-24","passed","2026-04-24","TestCartManagement","test_cart","",""
"","378","test_checkout_info_required","test_cases","2026-04-24","passed","2026-04-24","TestCheckout","test_checkout","",""
"
        测试场景：从购物车中移除单个商品

        验证点：
            1. 先添加商品到购物车
            2. 点击""Remove""按钮
            3. 按钮文本变回""Add to cart""
            4. 购物车徽章数量减少
            5. 购物车页面不再显示该商品

        测试数据：
            - 商品名称: ""Sauce Labs Bike Light""
        ","24298","test_remove_single_product_from_cart","test_cases","2026-04-24","passed","2026-04-24","TestCartManagement","test_cart","",""
"标准用户完整流程测试","484","test_standard_user_flow","test_cases","2026-04-24","passed","2026-04-24","TestLogin","test_login","",""
"验证商品总额 + 税额 = 总金额","10959","test_checkout_price_calculation","test_cases","2026-04-24","passed","2026-04-24","TestCheckout","test_checkout","",""
